Type: excitation
Name: Lumencor-FITC (LED)
wavelength, intensity:
370.52822955,0.00359248
370.63779597,0.00415025
370.74736930,0.00369509
370.85694954,0.00429831
370.96653670,0.00214898
371.07613076,0.00537451
371.18573173,0.00340352
371.29533961,0.00391323
371.40495439,0.00341314
371.51457607,0.00409888
371.62420464,0.00336591
371.73384011,0.00406752
371.84348247,0.00341906
371.95313172,0.00416928
372.06278786,0.00218568
372.17245088,0.00554870
372.28212078,0.00348072
372.39179756,0.00421204
372.50148122,0.00341314
372.61117176,0.00432356
372.72086916,0.00339980
372.83057344,0.00386037
372.94028458,0.00342464
373.05000258,0.00442831
373.15972745,0.00202743
373.26945918,0.00556202
373.37919776,0.00348840
373.48894320,0.00405261
373.59869549,0.00361864
373.70845463,0.00406659
373.81822061,0.00327495
373.92799344,0.00400070
374.03777311,0.00340889
374.14755962,0.00435887
374.25735297,0.00188220
374.36715315,0.00551571
374.47696017,0.00358408
374.58677401,0.00430180
374.69659468,0.00349524
374.80642218,0.00400954
374.91625649,0.00338766
375.02609763,0.00399550
375.13594558,0.00359901
375.24580034,0.00431538
375.35566192,0.00197319
375.46553031,0.00516712
375.57540550,0.00340216
375.68528750,0.00400301
375.79517630,0.00339441
375.90507190,0.00406992
376.01497430,0.00353212
376.12488349,0.00383254
376.23479947,0.00337292
376.34472224,0.00441339
376.45465180,0.00215857
376.56458814,0.00526624
376.67453127,0.00338156
376.78448117,0.00405864
376.89443785,0.00362986
377.00440130,0.00408504
377.11437153,0.00346271
377.22434852,0.00388868
377.33433229,0.00336635
377.44432281,0.00428168
377.55432010,0.00201271
377.66432415,0.00538356
377.77433495,0.00340473
377.88435251,0.00404133
377.99437682,0.00346881
378.10440788,0.00397263
378.21444568,0.00340355
378.32449023,0.00382744
378.43454152,0.00347417
378.54459955,0.00416246
378.65466432,0.00196755
378.76473582,0.00540537
378.87481406,0.00340966
378.98489902,0.00392703
379.09499071,0.00347205
379.20508912,0.00402756
379.31519425,0.00345408
379.42530611,0.00393429
379.53542468,0.00356509
379.64554996,0.00416665
379.75568196,0.00202109
379.86582067,0.00532402
379.97596608,0.00358734
380.08611820,0.00395324
380.19627701,0.00328737
380.30644253,0.00390480
380.41661475,0.00345896
380.52679365,0.00397706
380.63697925,0.00341221
380.74717154,0.00409486
380.85737052,0.00198907
380.96757618,0.00542547
381.07778852,0.00357517
381.18800754,0.00406869
381.29823324,0.00352628
381.40846561,0.00413603
381.51870465,0.00345663
381.62895037,0.00394598
381.73920274,0.00340168
381.84946179,0.00413535
381.95972749,0.00195493
382.06999986,0.00523261
382.18027888,0.00341613
382.29056455,0.00389966
382.40085688,0.00321249
382.51115585,0.00400183
382.62146147,0.00343518
382.73177374,0.00393729
382.84209265,0.00351625
382.95241819,0.00407270
383.06275038,0.00209475
383.17308919,0.00530970
383.28343464,0.00347134
383.39378672,0.00411009
383.50414543,0.00345919
383.61451076,0.00383984
383.72488271,0.00333975
383.83526128,0.00401520
383.94564646,0.00336384
384.05603826,0.00397264
384.16643667,0.00198413
384.27684169,0.00525804
384.38725332,0.00364458
384.49767155,0.00384236
384.60809639,0.00340543
384.71852782,0.00385247
384.82896585,0.00332546
384.93941047,0.00393569
385.04986168,0.00337198
385.16031949,0.00408648
385.27078388,0.00197830
385.38125485,0.00523466
385.49173241,0.00342931
385.60221654,0.00377953
385.71270725,0.00339841
385.82320454,0.00389098
385.93370840,0.00347558
386.04421882,0.00388940
386.15473581,0.00324929
386.26525937,0.00399274
386.37578949,0.00211973
386.48632617,0.00514050
386.59686940,0.00361208
386.70741919,0.00407994
386.81797553,0.00329231
386.92853842,0.00375354
387.03910785,0.00334811
387.14968383,0.00392702
387.26026635,0.00331377
387.37085541,0.00428191
387.48145100,0.00193270
387.59205313,0.00531160
387.70266180,0.00325951
387.81327699,0.00383021
387.92389870,0.00333227
388.03452694,0.00390672
388.14516171,0.00340094
388.25580299,0.00374025
388.36645079,0.00314029
388.47710510,0.00425198
388.58776592,0.00197361
388.69843325,0.00520707
388.80910709,0.00327498
388.91978744,0.00399831
389.03047428,0.00331073
389.14116762,0.00387679
389.25186746,0.00324111
389.36257380,0.00391978
389.47328662,0.00324622
389.58400594,0.00395723
389.69473174,0.00201594
389.80546402,0.00521810
389.91620279,0.00328454
390.02694804,0.00371008
390.13769976,0.00328383
390.24845795,0.00390250
390.35922262,0.00315014
390.46999376,0.00382413
390.58077136,0.00331611
390.69155543,0.00402524
390.80234595,0.00195050
390.91314294,0.00532113
391.02394638,0.00322628
391.13475628,0.00392068
391.24557263,0.00326330
391.35639543,0.00372970
391.46722467,0.00345030
391.57806036,0.00367406
391.68890249,0.00325392
391.79975106,0.00393241
391.91060606,0.00196241
392.02146750,0.00520873
392.13233537,0.00323730
392.24320967,0.00368668
392.35409040,0.00332478
392.46497755,0.00385242
392.57587112,0.00332898
392.68677111,0.00385340
392.79767752,0.00330634
392.90859034,0.00410214
393.01950957,0.00199024
