Type: Filter
Name: DV-EM-Cy5.csv
wavelength,transmision
505.440748,0.007012
505.556064,0.007167
505.671381,0.005487
505.786697,0.004509
505.902013,0.003431
506.017330,0.003106
506.132646,0.004581
506.247963,0.005056
506.363279,0.005483
506.478596,0.007933
506.593912,0.010819
506.709228,0.012223
506.824545,0.012125
506.939861,0.013069
507.055178,0.014894
507.170494,0.016024
507.285811,0.015793
507.401127,0.016011
507.516443,0.017109
507.631760,0.016800
507.747076,0.016653
507.862393,0.018366
507.977709,0.019768
508.093026,0.020917
508.208342,0.021053
508.323658,0.022365
508.438975,0.022931
508.554291,0.022608
508.669608,0.024060
508.784924,0.024411
508.900240,0.025772
509.015557,0.024184
509.130873,0.021528
509.246190,0.019998
509.361506,0.019558
509.476823,0.020015
509.592139,0.019192
509.707455,0.017996
509.822772,0.019413
509.938088,0.018700
510.053405,0.016832
510.168721,0.014783
510.284038,0.016012
510.399354,0.014109
510.514670,0.014606
510.629987,0.013282
510.745303,0.014403
510.860620,0.015369
510.975936,0.014649
511.091253,0.014701
511.206569,0.013706
511.321885,0.013027
511.437202,0.012271
511.552518,0.013623
511.667835,0.013690
511.783151,0.012932
511.898468,0.014203
512.013784,0.013945
512.129100,0.017516
512.244417,0.017523
512.359733,0.017256
512.475050,0.015101
512.590366,0.017562
512.705682,0.015978
512.820999,0.015658
512.936315,0.014939
513.051632,0.017557
513.166948,0.019042
513.282265,0.018998
513.397581,0.019963
513.512897,0.021782
513.628214,0.022078
513.743530,0.021058
513.858847,0.022211
513.974163,0.023546
514.089480,0.023439
514.204796,0.021321
514.320112,0.019750
514.435429,0.021688
514.550745,0.020097
514.666062,0.019485
514.781378,0.016951
514.896695,0.019671
515.012011,0.020146
515.127327,0.019221
515.242644,0.019012
515.357960,0.019759
515.473277,0.020622
515.588593,0.019733
515.703910,0.019957
515.819226,0.021023
515.934542,0.020251
516.049859,0.020201
516.165175,0.019770
516.280492,0.019877
516.395808,0.020527
516.511124,0.020853
516.626441,0.020390
516.741757,0.021343
516.857074,0.020614
516.972390,0.018410
517.087707,0.019055
517.203023,0.019446
517.318339,0.020112
517.433656,0.019171
517.548972,0.018764
517.664289,0.021779
