Type: Dichroic
Name: FF444/520/590-Di01
Typical Measured Spectrum of Semrock FF444/520/590-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
488.0,0.35743
488.2,0.33491
488.4,0.31285
488.6,0.28902
488.8,0.26596
489.0,0.24334
489.2,0.22327
489.4,0.2047
489.6,0.18409
489.8,0.16519
490.0,0.14769
490.2,0.13173
490.4,0.11742
490.6,0.10557
490.8,0.09667
491.0,0.08605
491.2,0.07632
491.4,0.06771
491.6,0.06043
491.8,0.05412
492.0,0.04854
492.2,0.04407
492.4,0.03972
492.6,0.03565
492.8,0.03228
493.0,0.02934
493.2,0.02651
493.4,0.02415
493.6,0.02206
493.8,0.02023
494.0,0.01845
494.2,0.01698
494.4,0.01568
494.6,0.01455
494.8,0.01349
495.0,0.01243
495.2,0.01156
495.4,0.01078
495.6,0.01011
495.8,0.00945
496.0,0.00891
496.2,0.0084
496.4,0.00828
496.6,0.0078
496.8,0.00742
497.0,0.00703
497.2,0.00669
497.4,0.0064
497.6,0.00609
497.8,0.00544
498.0,0.0052
498.2,0.005
498.4,0.00482
498.6,0.00462
498.8,0.00445
499.0,0.00433
499.2,0.00415
499.4,0.00405
499.6,0.00394
499.8,0.00384
500.0,0.00372
500.2,0.00365
500.4,0.00356
500.6,0.0035
500.8,0.00343
501.0,0.00337
501.2,0.00331
501.4,0.00327
501.6,0.00323
501.8,0.00319
502.0,0.00315
502.2,0.00312
502.4,0.00311
502.6,0.00308
502.8,0.00307
503.0,0.00306
503.2,0.00305
503.4,0.00305
503.6,0.00305
503.8,0.00306
504.0,0.00307
504.2,0.00309
504.4,0.00311
504.6,0.00313
504.8,0.00316
505.0,0.00319
505.2,0.00323
505.4,0.00328
505.6,0.00331
505.8,0.00337
506.0,0.00343
506.2,0.00349
506.4,0.00355
506.6,0.00363
506.8,0.00373
507.0,0.00383
507.2,0.00391
507.4,0.00402
507.6,0.00414
507.8,0.00466
508.0,0.00486
508.2,0.00503
508.4,0.00515
508.6,0.00535
508.8,0.00555
509.0,0.00577
509.2,0.00603
509.4,0.00625
509.6,0.00649
509.8,0.00686
510.0,0.00713
510.2,0.00752
510.4,0.00788
510.6,0.00767
510.8,0.00807
511.0,0.00849
511.2,0.009
511.4,0.00954
511.6,0.01007
511.8,0.01069
512.0,0.01117
512.2,0.0119
512.4,0.01265
512.6,0.01355
512.8,0.01447
513.0,0.01547
513.2,0.01661
513.4,0.01765
513.6,0.01897
513.8,0.02049
514.0,0.02207
514.2,0.02392
514.4,0.02593
514.6,0.02804
514.8,0.02985
515.0,0.03254
515.2,0.03544
515.4,0.03863
515.6,0.04245
515.8,0.04649
516.0,0.05112
516.2,0.0539
516.4,0.05933
516.6,0.06528
516.8,0.0719
517.0,0.07933
517.2,0.08768
517.4,0.09691
517.6,0.10719
517.8,0.11793
518.0,0.13019
518.2,0.14332
518.4,0.15767
518.6,0.17251
518.8,0.18895
519.0,0.20407
519.2,0.22171
519.4,0.2403
519.6,0.25934
519.8,0.27895
520.0,0.29993
520.2,0.31938
520.4,0.33464
520.6,0.35296
520.8,0.37217
521.0,0.3896
521.2,0.40706
521.4,0.42329
521.6,0.43846
521.8,0.45095
522.0,0.46484
522.2,0.47814
522.4,0.49277
522.6,0.50638
522.8,0.52311
523.0,0.53993
523.2,0.55786
523.4,0.57657
523.6,0.59714
523.8,0.62015
524.0,0.64463
524.2,0.67044
524.4,0.69786
524.6,0.72417
524.8,0.75096
525.0,0.7776
525.2,0.80394
525.4,0.83055
525.6,0.85127
525.8,0.86933
526.0,0.88489
526.2,0.89779
526.4,0.90949
526.6,0.91795
526.8,0.92334
527.0,0.92729
527.2,0.92925
527.4,0.93093
527.6,0.93235
527.8,0.9294
528.0,0.93077
528.2,0.93119
528.4,0.93231
528.6,0.93421
528.8,0.9336
529.0,0.93862
529.2,0.94004
529.4,0.94075
529.6,0.94134
529.8,0.94187
530.0,0.94249
530.2,0.94328
530.4,0.94663
530.6,0.94486
530.8,0.94522
531.0,0.94717
531.2,0.9474
531.4,0.94748
531.6,0.94618
531.8,0.9449
532.0,0.94541
532.2,0.94349
532.4,0.94129
532.6,0.93705
532.8,0.93518
533.0,0.93142
533.2,0.92996
533.4,0.92941
533.6,0.9283
533.8,0.92696
534.0,0.92564
534.2,0.92701
534.4,0.92525
534.6,0.92594
534.8,0.92437
535.0,0.92755
535.2,0.92823
535.4,0.93041
535.6,0.93089
535.8,0.93038
536.0,0.92984
536.2,0.9306
536.4,0.93264
536.6,0.93409
536.8,0.93635
537.0,0.93474
537.2,0.93668
537.4,0.93727
537.6,0.93645
537.8,0.9374
538.0,0.93614
538.2,0.93673
538.4,0.93442
538.6,0.93318
538.8,0.93066
539.0,0.92898
539.2,0.92604
539.4,0.92318
539.6,0.92107
539.8,0.92146
540.0,0.91865
540.2,0.91726
540.4,0.91357
540.6,0.91051
540.8,0.90846
541.0,0.90533
541.2,0.90439
541.4,0.90466
541.6,0.90385
541.8,0.90324
542.0,0.90498
542.2,0.90627
542.4,0.90638
542.6,0.90777
542.8,0.90676
543.0,0.90919
543.2,0.91138
543.4,0.91285
543.6,0.91557
543.8,0.91778
544.0,0.92074
544.2,0.92505
544.4,0.9278
544.6,0.92916
544.8,0.93205
545.0,0.93443
545.2,0.93703
545.4,0.93695
545.6,0.93881
545.8,0.94115
546.0,0.9417
546.2,0.94315
546.4,0.94399
546.6,0.94279
546.8,0.94217
547.0,0.94312
547.2,0.94297
547.4,0.94193
547.6,0.94172
547.8,0.9396
548.0,0.93923
548.2,0.93581
548.4,0.93289
548.6,0.9295
548.8,0.92312
549.0,0.91633
549.2,0.90799
549.4,0.89667
549.6,0.88513
549.8,0.87041
550.0,0.85323
550.2,0.83379
550.4,0.81345
550.6,0.78971
550.8,0.76712
551.0,0.74268
551.2,0.71765
551.4,0.69296
551.6,0.66799
551.8,0.64136
552.0,0.61433
552.2,0.58967
552.4,0.56582
552.6,0.54014
552.8,0.51617
553.0,0.49249
553.2,0.46886
553.4,0.44562
553.6,0.42255
553.8,0.39914
554.0,0.37755
554.2,0.35738
554.4,0.33652
554.6,0.31481
554.8,0.29378
555.0,0.27395
555.2,0.2543
555.4,0.23516
555.6,0.21805
555.8,0.20122
556.0,0.1857
556.2,0.17111
556.4,0.1575
556.6,0.14395
556.8,0.13198
557.0,0.12084
557.2,0.11157
557.4,0.10236
557.6,0.09367
557.8,0.08582
558.0,0.07913
558.2,0.07265
558.4,0.06684
558.6,0.06325
558.8,0.05852
559.0,0.05398
559.2,0.04997
559.4,0.04631
559.6,0.0428
559.8,0.03974
560.0,0.03678
560.2,0.03415
560.4,0.03191
560.6,0.02985
560.8,0.02793
561.0,0.02608
561.2,0.02459
561.4,0.02317
561.6,0.02188
561.8,0.0207
562.0,0.01949
562.2,0.01844
562.4,0.01744
562.6,0.01656
562.8,0.01583
563.0,0.01511
563.2,0.01441
563.4,0.01372
563.6,0.01313
563.8,0.01258
564.0,0.01205
564.2,0.01183
564.4,0.0113
564.6,0.01085
564.8,0.01045
565.0,0.01002
565.2,0.0097
565.4,0.00939
565.6,0.00902
565.8,0.00873
566.0,0.00845
566.2,0.00821
566.4,0.00802
566.6,0.00783
566.8,0.00758
567.0,0.00735
567.2,0.00721
567.4,0.00704
567.6,0.00688
567.8,0.00673
568.0,0.00662
568.2,0.00649
568.4,0.00651
568.6,0.00644
568.8,0.00635
569.0,0.00626
569.2,0.00619
569.4,0.00614
569.6,0.00608
569.8,0.00599
570.0,0.00595
570.2,0.0059
570.4,0.00586
570.6,0.00582
570.8,0.00579
571.0,0.00575
