Wavelength,642_80
759.00,9.5000001465451E-7
760.00,9.5000001465451E-7
761.00,9.5000001465451E-7
762.00,1.9234300907556E-6
763.00,9.5000001465451E-7
764.00,9.5929897270253E-7
765.00,9.5000001465451E-7
766.00,2.1719599772041E-6
767.00,9.5000001465451E-7
768.00,9.5000001465451E-7
769.00,9.8175496532349E-7
770.00,1.5583500498906E-6
771.00,3.2153600386664E-6
772.00,3.7771299048472E-6
773.00,9.5000001465451E-7
774.00,9.5000001465451E-7
775.00,9.5000001465451E-7
776.00,9.5000001465451E-7
777.00,9.5000001465451E-7
778.00,9.5000001465451E-7
779.00,9.5000001465451E-7
780.00,9.5000001465451E-7
781.00,9.5000001465451E-7
782.00,2.6496200007387E-6
783.00,2.3426800908055E-6
784.00,1.6557900153202E-6
785.00,2.4626599497424E-6
786.00,9.5000001465451E-7
787.00,9.5000001465451E-7
788.00,9.5000001465451E-7
789.00,1.5551099750155E-6
790.00,9.5000001465451E-7
791.00,1.8493899460736E-6
792.00,1.5878999874985E-6
793.00,9.5000001465451E-7
794.00,1.4153399661154E-6
795.00,9.5000001465451E-7
796.00,9.5000001465451E-7
797.00,9.5000001465451E-7
798.00,2.1213900254224E-6
799.00,1.2718500101982E-6
800.00,1.3231300499683E-6
