Type: filter
Name: Chroma ET605/70m
Wavelength (nm), Transmission (0 to 1)
722.00,9.9999999392253E-9
723.00,9.9999999392253E-9
724.00,9.9999999392253E-9
725.00,1.6738499653002E-7
726.00,5.775159905852E-8
727.00,4.8616701775472E-9
728.00,8.4216402740367E-8
729.00,5.8663701452133E-8
730.00,8.9172303319174E-8
731.00,9.1892900400126E-8
732.00,1.8207099827805E-8
733.00,1.3673600562925E-7
734.00,9.9999999392253E-9
735.00,7.236820209755E-8
736.00,4.9550499170437E-7
737.00,1.7757299701771E-6
738.00,6.489879979199E-6
739.00,3.2528300835111E-6
740.00,8.2452197602834E-7
741.00,1.2154399655628E-6
742.00,9.9168903489044E-7
743.00,1.5081900528457E-6
744.00,3.7963600334479E-6
745.00,2.2035399524611E-5
746.00,0.00010105399996974
747.00,5.8192599681206E-5
748.00,1.4544300029229E-5
749.00,7.9865703810356E-6
750.00,6.181180197018E-6
751.00,7.0925098043517E-6
752.00,1.1155500033055E-5
753.00,3.2121901313076E-5
754.00,8.3414597611409E-5
755.00,5.6669101468287E-5
756.00,2.1748599465354E-5
757.00,1.1235400052101E-5
758.00,7.1723998189555E-6
759.00,5.8814098338189E-6
760.00,4.8716601668275E-6
761.00,4.4237999645702E-6
762.00,5.7795500651991E-6
763.00,1.0754900358734E-5
764.00,2.8312799258856E-5
765.00,4.929590068059E-5
766.00,3.2443698728457E-5
767.00,1.7639200450503E-5
768.00,1.0584800293145E-5
769.00,7.686709977861E-6
770.00,5.9690501075238E-6
771.00,5.2549999054463E-6
772.00,6.2625999817101E-6
773.00,5.9534600040934E-6
774.00,8.4732000686927E-6
775.00,1.5987499864423E-5
776.00,3.8161299016792E-5
777.00,3.9225600630743E-5
778.00,2.2879499738337E-5
779.00,1.3957500414108E-5
780.00,9.1648298621294E-6
781.00,6.9418301791302E-6
782.00,5.7095498959825E-6
783.00,4.4676298784907E-6
784.00,4.101400008949E-6
785.00,4.2121500882786E-6
786.00,4.1348598642799E-6
787.00,4.0598401938041E-6
788.00,4.137220003031E-6
789.00,4.1441799112363E-6
790.00,5.2286900427134E-6
791.00,6.2099998103804E-6
792.00,8.5319097706815E-6
793.00,1.0220799595118E-5
794.00,1.335429988103E-5
795.00,1.7566699170857E-5
796.00,1.8177399397246E-5
797.00,1.7310199837084E-5
798.00,1.4436799574469E-5
