Type: filter
Name: Semrock FF01-676/37 Optical Filter
Wavelength (nm), Transmission (0 to 1)
417.4,5.6885e-08
417.6,6.1485e-08
417.8,6.6457e-08
418.0,7.183e-08
418.2,7.7639e-08
418.4,8.3917e-08
418.6,9.0702e-08
418.8,9.8037e-08
419.0,1.0e-07
419.2,1.0e-07
419.4,1.0e-07
419.6,1.0e-07
419.8,1.0e-07
420.0,1.0e-07
420.2,1.0e-07
420.4,1.0e-07
420.6,1.0e-07
420.8,1.0e-07
421.0,1.0e-07
421.2,1.0e-07
421.4,1.0e-07
421.6,1.0e-07
421.8,1.0e-07
422.0,1.0e-07
422.2,1.0e-07
422.4,1.0e-07
422.6,1.0e-07
422.8,1.0e-07
423.0,1.0e-07
423.2,1.0e-07
423.4,1.0e-07
423.6,1.0e-07
423.8,1.0e-07
424.0,1.0e-07
424.2,1.0e-07
424.4,1.0e-07
424.6,1.0e-07
424.8,1.0e-07
425.0,1.0e-07
425.2,1.0e-07
425.4,1.0e-07
425.6,1.0e-07
425.8,1.0e-07
426.0,1.0e-07
426.2,1.0e-07
426.4,1.431e-07
426.6,2.3002e-07
426.8,3.6976e-07
427.0,5.9437e-07
427.2,6.0325e-07
427.4,6.1227e-07
427.6,6.2142e-07
427.8,6.3071e-07
428.0,6.4014e-07
428.2,6.4971e-07
428.4,6.5943e-07
428.6,6.6928e-07
428.8,6.7929e-07
429.0,6.8945e-07
429.2,6.9975e-07
429.4,7.1021e-07
429.6,7.2083e-07
429.8,7.3161e-07
430.0,7.4255e-07
430.2,7.4217e-07
430.4,6.5917e-07
430.6,5.8545e-07
430.8,5.1998e-07
431.0,4.6183e-07
431.2,4.1018e-07
431.4,3.6431e-07
431.6,3.2357e-07
431.8,2.8738e-07
432.0,2.5524e-07
432.2,2.267e-07
432.4,2.0135e-07
432.6,1.7883e-07
432.8,1.5883e-07
433.0,1.4107e-07
433.2,1.2529e-07
433.4,1.1128e-07
433.6,9.8835e-08
433.8,8.7782e-08
434.0,8.3936e-08
434.2,8.4759e-08
434.4,8.5589e-08
434.6,8.6428e-08
434.8,8.7275e-08
435.0,8.8131e-08
435.2,8.8994e-08
435.4,8.9867e-08
435.6,9.0747e-08
435.8,9.1637e-08
436.0,9.2535e-08
436.2,9.3442e-08
436.4,9.4358e-08
436.6,9.5282e-08
436.8,9.6216e-08
437.0,9.7159e-08
437.2,9.8111e-08
437.4,9.9073e-08
437.6,1.0e-07
437.8,1.0e-07
438.0,1.0e-07
438.2,1.0e-07
438.4,1.0e-07
438.6,1.0e-07
438.8,1.0e-07
439.0,1.0e-07
439.2,1.0e-07
439.4,1.0e-07
439.6,1.0e-07
439.8,1.0e-07
440.0,1.0e-07
440.2,1.0e-07
440.4,1.0e-07
440.6,1.0e-07
440.8,1.0e-07
441.0,1.0e-07
441.2,1.0e-07
441.4,1.0e-07
441.6,1.0e-07
441.8,1.0e-07
442.0,1.0e-07
442.2,1.0e-07
442.4,1.0e-07
442.6,1.0e-07
442.8,1.0e-07
443.0,1.0e-07
443.2,1.0e-07
443.4,1.0e-07
443.6,1.0e-07
443.8,1.0e-07
444.0,1.0e-07
444.2,1.0e-07
444.4,1.0e-07
444.6,1.0e-07
444.8,1.0e-07
445.0,1.0e-07
445.2,1.0e-07
445.4,1.0e-07
445.6,1.0e-07
445.8,1.0e-07
446.0,1.0e-07
446.2,1.0e-07
446.4,1.0e-07
446.6,1.0e-07
446.8,1.0e-07
447.0,1.0e-07
447.2,1.0e-07
447.4,1.0e-07
447.6,1.0e-07
447.8,1.0e-07
448.0,1.0e-07
448.2,1.0e-07
448.4,1.0e-07
448.6,1.0e-07
448.8,1.0e-07
449.0,1.0e-07
449.2,1.0e-07
449.4,1.0e-07
449.6,1.0e-07
449.8,1.0e-07
450.0,1.0e-07
450.2,1.0e-07
450.4,1.0e-07
450.6,1.0e-07
450.8,1.0e-07
451.0,1.0e-07
451.2,1.0e-07
451.4,1.0e-07
451.6,1.0e-07
451.8,1.0e-07
452.0,1.0e-07
452.2,1.0e-07
452.4,1.0e-07
452.6,1.0e-07
452.8,1.0e-07
453.0,1.0e-07
453.2,1.0e-07
453.4,1.0e-07
453.6,1.0e-07
453.8,1.0e-07
454.0,1.0e-07
454.2,1.0e-07
454.4,1.0e-07
454.6,1.0e-07
454.8,1.0e-07
455.0,1.0e-07
455.2,1.0e-07
455.4,1.0e-07
455.6,1.0e-07
455.8,1.0e-07
456.0,1.0e-07
456.2,9.8868e-08
456.4,9.686e-08
456.6,9.4893e-08
456.8,9.2966e-08
457.0,9.1078e-08
457.2,8.9228e-08
