Type: Dye
Name: Alexa-532
Extinction coefficient: 81000
Quantum Yield: 0.61
wavelength,emission
529,0.995400012,0.211700007
530,0.989300013,0.246000007
531,0.976899981,0.282400012
532,0.958599985,0.319700003
533,0.92839998,0.35710001
534,0.898599982,0.398400009
535,0.861299992,0.440200001
536,0.822000027,0.484100014
537,0.777100027,0.529900014
538,0.736000001,0.577099979
539,0.689199984,0.620800018
540,0.640600026,0.666000009
541,0.592499971,0.711300015
542,0.546199977,0.757300019
543,0.49849999,0.794200003
544,0.455300003,0.834900022
545,0.411300004,0.86680001
546,0.369899988,0.897000015
547,0.329400003,0.923500001
548,0.294999987,0.944500029
549,0.263000011,0.961099982
550,0.231999993,0.978200018
551,0.204099998,0.989700019
552,0.180600002,0.996200025
553,0.157700002,0.999100029
554,0.139300004,0.997600019
555,0.1228,0.992299974
556,0.106600001,0.987299979
557,0.092600003,0.977100015
558,0.079700001,0.965699971
559,0.0682,0.948800027
560,0.058400001,0.929400027
561,0.049600001,0.910700023
562,0.041900001,0.892700016
563,0.035100002,0.870000005
564,0.0307,0.845700026
565,0.0272,0.825200021
566,0.023600001,0.801199973
567,0.020500001,0.775600016
568,0.0175,0.755100012
569,0.0166,0.730700016
570,0.017999999,0.707799971
571,0,0.684400022
572,0,0.660700023
573,0,0.639599979
574,0,0.619700015
575,0,0.597000003
576,0,0.57889998
577,0,0.564300001
578,0,0.543900013
579,0,0.526000023
580,0,0.511300027
581,0,0.493600011
582,0,0.479600012
583,0,0.46450001
584,0,0.450100005
585,0,0.43900001
586,0,0.428200006
587,0,0.412600011
588,0,0.404500008
589,0,0.393400013
590,0,0.381500006
591,0,0.372000009
592,0,0.362800002
593,0,0.351900011
594,0,0.343800008
595,0,0.337900013
596,0,0.325800002
597,0,0.315800011
598,0,0.306600004
599,0,0.299800009
600,0,0.290399998
601,0,0.284200013
602,0,0.275700003
603,0,0.2685
604,0,0.260600001
605,0,0.255400002
606,0,0.247400001
607,0,0.240199998
608,0,0.232999995
609,0,0.225700006
610,0,0.217299998
611,0,0.211799994
612,0,0.203999996
613,0,0.197400004
614,0,0.191300005
615,0,0.185399994
616,0,0.180600002
617,0,0.1743
618,0,0.169300005
619,0,0.161699995
620,0,0.157100007
621,0,0.1523
622,0,0.146400005
623,0,0.140400007
624,0,0.135399997
625,0,0.129299998
626,0,0.124799997
627,0,0.122000001
628,0,0.118100002
629,0,0.112300001
630,0,0.108800001
631,0,0.104900002
632,0,0.101099998
633,0,0.0977
634,0,0.093510002
635,0,0.090010002
636,0,0.086510003
637,0,0.084310003
638,0,0.081
639,0,0.078210004
640,0,0.075110003
641,0,0.073100001
642,0,0.070710003
643,0,0.067299999
644,0,0.064410001
645,0,0.062100001
646,0,0.059900001
647,0,0.056510001
648,0,0.054400001
649,0,0.052000001
650,0,0.05071
