Type: dye
Name: Alexa-546
Exctinction coefficient: 270000
Quantum Yield: 0.33
wavelength,emission
354,0.00877116,0
355,0.00888508,0
356,0.00881957,0
357,0.00906546,0
358,0.00935122,0
359,0.00943666,0
360,0.00972052,0
361,0.0100537,0
362,0.0104999,0
363,0.0108227,0
364,0.0109841,0
365,0.0110401,0
366,0.0114958,0
367,0.011231,0
368,0.0109642,0
369,0.0109737,0
370,0.0106509,0
371,0.0104999,0
372,0.0101582,0
373,0.010386,0
374,0.0103281,0
375,0.0101392,0
376,0.0102721,0
377,0.0105284,0
378,0.0106699,0
379,0.0103756,0
380,0.010386,0
381,0.0103376,0
382,0.0103091,0
383,0.00972052,0
384,0.00942621,0
385,0.0093702,0
386,0.0089335,0
387,0.00825945,0
388,0.00767084,0
389,0.0071487,0
390,0.00640819,0
391,0.00584712,0
392,0.00519301,0
393,0.00455694,0
394,0.00408226,0
395,0.00328479,0
396,0.00295157,0
397,0.00272372,0
398,0.0023829,0
399,0.00190727,0
400,0.00191771,0
401,0.00154651,0
402,0.00129018,0
403,0.00136708,0
404,0.00113923,0
405,0.00105284,0
406,0.00073,0
407,0.000664,0
408,0.000673,0
409,0.000512,0
410,0.000342,0
411,0.000227,0
412,0.00016,0
413,0.000123,0
414,1.00E-05,0
415,1.00E-05,0
416,1.00E-05,0
417,1.00E-05,0
418,1.00E-05,0
419,1.00E-05,0
420,1.00E-05,0
421,1.00E-05,0
422,1.00E-05,0
423,1.00E-05,0
424,1.00E-05,0
425,1.00E-05,0
426,1.00E-05,0
427,1.00E-05,0
428,1.00E-05,0
429,1.00E-05,0
430,1.00E-05,0
431,1.00E-05,0
432,1.00E-05,0
433,1.00E-05,0
434,1.00E-05,0
435,1.00E-05,0
436,1.00E-05,0
437,1.00E-05,0
438,1.00E-05,0
439,1.00E-05,0
440,1.00E-05,0
441,1.00E-05,0
442,1.00E-05,0
443,1.00E-05,0
444,1.00E-05,0
445,1.00E-05,0
446,1.00E-05,0
447,1.00E-05,0
448,1.00E-05,0
449,1.00E-05,0
450,1.00E-05,0
451,1.00E-05,0
452,1.00E-05,0
453,1.00E-05,0
454,1.00E-05,0
455,1.00E-05,0
456,1.00E-05,0
457,1.00E-05,0
458,1.00E-05,0
459,1.00E-05,0
460,1.00E-05,0
461,1.00E-05,0
462,1.00E-05,0
463,1.00E-05,0
464,1.00E-05,0
465,1.00E-05,0
466,1.00E-05,0
467,2.75E-05,0
468,0.000113,0
469,0.000266,0
470,0.000247,0
471,0.000322,0
472,0.000142,0
473,0.000361,0
474,0.000331,0
475,0.000503,0
476,0.000532,0
477,0.000503,0
478,0.000512,0
479,0.000797,0
480,0.000787,0
481,0.000891,0
482,0.000864,0
