Type: excitation
Name: Xe(Xenon) arc lamp
wavelength,intensity
368.11952350,0.14484681
368.22893711,0.14600874
368.33835769,0.14563980
368.44778524,0.14703037
368.55721976,0.14735563
368.66666124,0.14835230
368.77610968,0.14866343
368.88556508,0.14983765
368.99502744,0.15016458
369.10449676,0.15121159
369.21397303,0.15174526
369.32345624,0.15286263
369.43294640,0.15323498
369.54244351,0.15461527
369.65194756,0.15532490
369.76145855,0.15660351
369.87097647,0.15710527
369.98050133,0.15825347
370.09003312,0.15845766
370.19957184,0.15989334
370.30911749,0.16045956
370.41867006,0.16124759
370.52822955,0.16174237
370.63779597,0.16282964
370.74736930,0.16272712
370.85694954,0.16359425
370.96653670,0.16186084
371.07613076,0.16498191
371.18573173,0.16326082
371.29533961,0.16377495
371.40495439,0.16320475
371.51457607,0.16348436
371.62420464,0.16268032
371.73384011,0.16327075
371.84348247,0.16279960
371.95313172,0.16313038
372.06278786,0.16332201
372.17245088,0.16392830
372.28212078,0.16325705
372.39179756,0.16401546
372.50148122,0.16355402
372.61117176,0.16400394
372.72086916,0.16375521
372.83057344,0.16421039
372.94028458,0.16346123
373.05000258,0.16410391
373.15972745,0.16377484
373.26945918,0.16425386
373.37919776,0.16409823
373.48894320,0.16444734
373.59869549,0.16456918
373.70845463,0.16511796
373.81822061,0.16505078
373.92799344,0.16635830
374.03777311,0.16673820
374.14755962,0.16755416
374.25735297,0.16799878
374.36715315,0.16934931
374.47696017,0.16971965
374.58677401,0.17072739
374.69659468,0.17155827
374.80642218,0.17151314
374.91625649,0.17472924
375.02609763,0.17496883
375.13594558,0.17566423
375.24580034,0.17720698
375.35566192,0.17814233
375.46553031,0.17947051
375.57540550,0.17992723
375.68528750,0.18184893
375.79517630,0.18251748
375.90507190,0.18386122
376.01497430,0.18454030
376.12488349,0.18583422
376.23479947,0.18655468
376.34472224,0.18771066
376.45465180,0.18829392
376.56458814,0.18953053
376.67453127,0.18980639
376.78448117,0.19075284
376.89443785,0.19109384
377.00440130,0.19220478
377.11437153,0.19217343
377.22434852,0.19295483
377.33433229,0.19271241
377.44432281,0.19368122
377.55432010,0.19367347
377.66432415,0.19424360
377.77433495,0.19431359
377.88435251,0.19496622
377.99437682,0.19485043
378.10440788,0.19562600
378.21444568,0.19502483
378.32449023,0.19606702
378.43454152,0.19589989
378.54459955,0.19699022
378.65466432,0.19555598
378.76473582,0.19928711
378.87481406,0.19790211
378.98489902,0.19888029
379.09499071,0.19869762
379.20508912,0.19974196
379.31519425,0.20023445
379.42530611,0.20148160
379.53542468,0.20170145
379.64554996,0.20282763
379.75568196,0.20282096
379.86582067,0.20413269
379.97596608,0.20462720
380.08611820,0.20536113
380.19627701,0.20600622
380.30644253,0.20718489
380.41661475,0.20769037
380.52679365,0.20865806
380.63697925,0.20922196
380.74717154,0.21038557
380.85737052,0.21081841
380.96757618,0.21141840
381.07778852,0.21197161
381.18800754,0.21317015
381.29823324,0.21302212
381.40846561,0.21410168
381.51870465,0.21430951
381.62895037,0.21471701
381.73920274,0.21490605
381.84946179,0.21565188
381.95972749,0.21533088
382.06999986,0.21614580
382.18027888,0.21558153
382.29056455,0.21596107
382.40085688,0.21592890
382.51115585,0.21459917
382.62146147,0.21684594
382.73177374,0.21608579
382.84209265,0.21531547
382.95241819,0.21608417
383.06275038,0.21533761
383.17308919,0.21515213
383.28343464,0.21503462
383.39378672,0.21521043
383.50414543,0.21403185
383.61451076,0.21506797
383.72488271,0.21396124
383.83526128,0.21424504
383.94564646,0.21415582
384.05603826,0.21400763
384.16643667,0.21364087
384.27684169,0.21382169
384.38725332,0.21321243
384.49767155,0.21400955
384.60809639,0.21368180
384.71852782,0.21410473
384.82896585,0.21327456
384.93941047,0.21442961
385.04986168,0.21361027
385.16031949,0.21512342
385.27078388,0.21440849
385.38125485,0.21532603
385.49173241,0.21527893
385.60221654,0.21648156
385.71270725,0.21650132
385.82320454,0.21761599
385.93370840,0.21770825
386.04421882,0.21877857
386.15473581,0.21940509
386.26525937,0.22020623
386.37578949,0.21964118
386.48632617,0.22351872
386.59686940,0.22288908
386.70741919,0.22442053
386.81797553,0.22466326
386.92853842,0.22651333
387.03910785,0.22708210
387.14968383,0.22879814
387.26026635,0.22933215
387.37085541,0.23117010
387.48145100,0.23193484
387.59205313,0.23377164
387.70266180,0.23463862
387.81327699,0.23658118
387.92389870,0.23763777
388.03452694,0.23898127
388.14516171,0.23973197
388.25580299,0.24150700
388.36645079,0.24227005
388.47710510,0.24364217
388.58776592,0.24459836
388.69843325,0.24596464
388.80910709,0.24661797
388.91978744,0.24830766
389.03047428,0.24916880
389.14116762,0.25022981
389.25186746,0.25112026
389.36257380,0.25231028
389.47328662,0.25248140
389.58400594,0.25369622
389.69473174,0.25376852
389.80546402,0.25556814
389.91620279,0.25541835
390.02694804,0.25686378
390.13769976,0.25704465
390.24845795,0.25634251
390.35922262,0.25953015
390.46999376,0.25939515
390.58077136,0.25923689
390.69155543,0.26022706
390.80234595,0.26037150
390.91314294,0.26154422
391.02394638,0.26210926
391.13475628,0.26272124
391.24557263,0.26296817
391.35639543,0.26392322
391.46722467,0.26458178
391.57806036,0.26563485
391.68890249,0.26549838
391.79975106,0.26716683
391.91060606,0.26789398
392.02146750,0.26948871
392.13233537,0.26974654
392.24320967,0.27153541
392.35409040,0.27226362
392.46497755,0.27393586
392.57587112,0.27479185
392.68677111,0.27675040
392.79767752,0.27766915
392.90859034,0.27982207
393.01950957,0.28098366
393.13043521,0.28244489
393.24136726,0.28393895
393.35230571,0.28595901
393.46325056,0.28716083
393.57420181,0.28939561
393.68515946,0.29045079
393.79612350,0.29258693
393.90709393,0.29395001
394.01807076,0.29625612
394.12905396,0.29608240
394.24004356,0.30037418
394.35103953,0.30069114
394.46204188,0.30217219
394.57305061,0.30357441
394.68406571,0.30514230
394.79508719,0.30613818
394.90611503,0.30826946
395.01714924,0.30914519
395.12818981,0.31035925
395.23923675,0.31141909
395.35029004,0.31305974
395.46134969,0.31386410
395.57241569,0.31548304
395.68348805,0.31636056
395.79456675,0.31776178
395.90565180,0.31894067
396.01674320,0.31991068
396.12784093,0.32019940
396.23894501,0.32146537
396.35005542,0.32219635
396.46117216,0.32333423
396.57229524,0.32297817
396.68342464,0.32415091
396.79456037,0.32387579
396.90570243,0.32491471
397.01685081,0.32557780
397.12800550,0.32577215
397.23916651,0.32584825
397.35033384,0.32599315
