Type: excitation
Name: LumencorDAPI (LED)
wavelength,intensity
345.51684107,0.00076476
345.62475014,0.00137489
345.73266670,0.00086831
345.84059075,0.00165261
345.94852229,0.00055246
346.05646131,0.00286460
346.16440781,0.00094712
346.27236180,0.00151744
346.38032326,0.00101820
346.48829219,0.00158995
346.59626860,0.00077436
346.70425248,0.00147097
346.81224383,0.00082931
346.92024264,0.00177881
347.02824891,0.00037105
347.13626264,0.00298055
347.24428383,0.00103034
347.35231248,0.00152497
347.46034857,0.00112503
347.56839212,0.00144969
347.67644311,0.00087606
347.78450155,0.00135970
347.89256743,0.00075355
348.00064075,0.00164137
348.10872151,0.00045547
348.21680971,0.00278817
348.32490533,0.00099950
348.43300839,0.00145090
348.54111887,0.00077973
348.64923678,0.00147373
348.75736210,0.00098217
348.86549485,0.00148827
348.97363502,0.00090831
349.08178260,0.00168275
349.18993760,0.00053168
349.29810000,0.00269210
349.40626981,0.00093403
349.51444703,0.00147960
349.62263164,0.00083978
349.73082366,0.00166239
349.83902308,0.00090456
349.94722988,0.00144380
350.05544409,0.00090321
350.16366568,0.00177296
350.27189466,0.00043906
350.38013102,0.00291813
350.48837477,0.00100907
350.59662589,0.00152005
350.70488439,0.00089056
350.81315027,0.00157054
350.92142352,0.00083232
351.02970414,0.00171762
351.13799213,0.00086554
351.24628748,0.00184219
351.35459019,0.00042408
351.46290027,0.00308269
351.57121770,0.00096558
351.67954248,0.00160977
351.78787462,0.00085543
351.89621411,0.00148827
352.00456094,0.00085777
352.11291512,0.00146112
352.22127664,0.00103291
352.32964551,0.00165538
352.43802170,0.00040095
352.54640524,0.00306943
352.65479610,0.00091835
352.76319430,0.00158148
352.87159982,0.00094990
352.98001267,0.00139545
353.08843284,0.00103546
353.19686032,0.00153546
353.30529513,0.00089429
353.41373725,0.00171621
353.52218668,0.00047061
353.63064343,0.00287887
353.73910748,0.00086040
353.84757883,0.00156869
353.95605749,0.00105393
354.06454344,0.00149087
354.17303670,0.00100251
354.28153725,0.00170118
354.39004509,0.00093194
354.49856022,0.00178326
354.60708263,0.00024671
354.71561234,0.00303993
354.82414932,0.00100600
354.93269358,0.00163270
355.04124513,0.00091557
355.14980394,0.00179306
355.25837003,0.00102542
355.36694339,0.00174030
355.47552401,0.00103801
355.58411190,0.00200628
355.69270705,0.00035213
355.80130946,0.00315378
355.90991913,0.00108386
356.01853605,0.00169796
356.12716023,0.00113882
356.23579165,0.00170589
356.34443033,0.00109416
356.45307624,0.00165373
356.56172940,0.00107008
356.67038980,0.00175311
