Type: excitation
Name: Lumencor-Cy5 (LED)
wavelength,intensity
363.53048068,0.00069307
363.63959921,0.00140140
363.74872482,0.00069109
363.85785750,0.00144948
363.96699725,0.00071038
364.07614407,0.00136772
364.18529796,0.00096670
364.29445892,0.00005772
364.40362693,0.00201135
364.51280201,0.00141480
364.62198414,0.00069195
364.73117333,0.00145728
364.84036957,0.00068182
364.94957286,0.00137205
365.05878319,0.00067807
365.16800057,0.00141419
365.27722500,0.00068375
365.38645646,0.00136275
365.49569496,0.00069958
365.60494049,0.00162878
365.71419305,-0.00070155
365.82345265,0.00272596
365.93271927,0.00066935
366.04199291,0.00135262
366.15127358,0.00062188
366.26056127,0.00134967
366.36985597,0.00067111
366.47915769,0.00140692
366.58846642,0.00064888
366.69778216,0.00141835
366.80710491,0.00066279
366.91643466,0.00142588
367.02577141,0.00093346
367.13511517,0.00000668
367.24446591,0.00202725
367.35382366,0.00143827
367.46318839,0.00077376
367.57256012,0.00137036
367.68193883,0.00070818
367.79132453,0.00141585
367.90071721,0.00071525
368.01011686,0.00142644
368.11952350,0.00070414
368.22893711,0.00146927
368.33835769,0.00070443
368.44778524,0.00169204
368.55721976,-0.00057687
368.66666124,0.00279212
368.77610968,0.00079492
368.88556508,0.00146029
368.99502744,0.00079260
369.10449676,0.00148726
369.21397303,0.00084888
369.32345624,0.00157018
369.43294640,0.00083947
369.54244351,0.00160073
369.65194756,0.00099639
369.76145855,0.00169426
369.87097647,0.00121727
369.98050133,0.00031652
370.09003312,0.00236393
370.19957184,0.00179306
370.30911749,0.00112978
370.41867006,0.00191471
370.52822955,0.00121898
370.63779597,0.00194134
370.74736930,0.00124880
370.85694954,0.00188106
370.96653670,0.00127885
371.07613076,0.00193718
371.18573173,0.00127391
371.29533961,0.00219286
371.40495439,-0.00017415
371.51457607,0.00317382
371.62420464,0.00111855
371.73384011,0.00177913
371.84348247,0.00110357
371.95313172,0.00171233
372.06278786,0.00100421
372.17245088,0.00166880
372.28212078,0.00096263
372.39179756,0.00170081
372.50148122,0.00103816
372.61117176,0.00178550
