Type: excitation
Name: Halogen lamp
wavelength, intensity:
343.57576191,0.02337687
343.68353568,0.02418256
343.79131700,0.02369743
343.89910585,0.02382301
344.00690223,0.02341042
344.11470614,0.02414482
344.22251758,0.02335717
344.33033654,0.02414422
344.43816303,0.02311737
344.54599704,0.02379207
344.65383856,0.02325829
344.76168760,0.02399973
344.86954415,0.02347022
344.97740821,0.02424641
345.08527978,0.02345579
345.19315885,0.02423951
345.30104543,0.02358103
345.40893950,0.02412606
345.51684107,0.02393342
345.62475014,0.02436040
345.73266670,0.02335322
345.84059075,0.02431919
345.94852229,0.02399593
346.05646131,0.02388698
346.16440781,0.02365137
346.27236180,0.02444216
346.38032326,0.02377538
346.48829219,0.02428990
346.59626860,0.02343467
346.70425248,0.02410444
346.81224383,0.02407366
346.92024264,0.02453165
347.02824891,0.02368667
347.13626264,0.02456599
347.24428383,0.02401460
347.35231248,0.02447839
347.46034857,0.02365179
347.56839212,0.02447624
347.67644311,0.02356870
347.78450155,0.02432046
347.89256743,0.02377926
348.00064075,0.02427787
348.10872151,0.02377132
348.21680971,0.02438555
348.32490533,0.02419666
348.43300839,0.02436845
348.54111887,0.02413438
348.64923678,0.02476451
348.75736210,0.02394957
348.86549485,0.02469002
348.97363502,0.02406945
349.08178260,0.02493492
349.18993760,0.02397263
349.29810000,0.02467111
349.40626981,0.02406643
349.51444703,0.02551877
349.62263164,0.02447121
349.73082366,0.02523421
349.83902308,0.02396687
349.94722988,0.02511484
350.05544409,0.02407273
350.16366568,0.02477759
350.27189466,0.02436636
350.38013102,0.02527741
350.48837477,0.02445840
350.59662589,0.02495494
350.70488439,0.02467921
350.81315027,0.02532835
350.92142352,0.02436493
351.02970414,0.02512369
351.13799213,0.02433610
351.24628748,0.02536042
351.35459019,0.02464537
351.46290027,0.02545516
351.57121770,0.02482947
351.67954248,0.02520662
351.78787462,0.02472293
351.89621411,0.02550812
352.00456094,0.02506461
352.11291512,0.02593211
352.22127664,0.02491963
352.32964551,0.02564752
352.43802170,0.02509810
352.54640524,0.02571089
352.65479610,0.02497389
352.76319430,0.02561527
352.87159982,0.02554638
352.98001267,0.02566916
353.08843284,0.02527600
353.19686032,0.02614423
353.30529513,0.02516592
353.41373725,0.02574655
353.52218668,0.02544735
353.63064343,0.02599938
353.73910748,0.02540356
353.84757883,0.02586285
353.95605749,0.02529765
354.06454344,0.02590109
354.17303670,0.02535353
354.28153725,0.02627733
354.39004509,0.02554624
354.49856022,0.02618073
354.60708263,0.02553429
354.71561234,0.02628444
354.82414932,0.02552849
354.93269358,0.02617367
355.04124513,0.02581034
355.14980394,0.02642891
355.25837003,0.02566310
355.36694339,0.02650747
355.47552401,0.02591219
355.58411190,0.02666478
355.69270705,0.02594063
